MATCH_ID,LEAGUE_ID,LEAGUE_NAME,LEAGUE_YEAR,CLUB_ID,MATCH_DATE,MATCH_DATE_KEY,TEAM_ONE_ID,TEAM_TWO_ID,INNINGS,BATTING_TEAM,BATTING_TEAM_ID,BOWLING_TEAM,BOWLING_TEAM_ID,PLAYER,PLAYER_ID,OVERS,MAIDENS,DOT_BALLS,RUNS,WICKETS,ECONOMY,EXTRAS_TEXT
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,1,TUKS 5,5430,PHSOB 3,5428,Burgert Kloppers,4742888,6.0,2,30,16,1,2.67,(2 w)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,1,TUKS 5,5430,PHSOB 3,5428,Jaco Fourie,4688790,6.0,0,24,28,1,4.67,(3 w)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,1,TUKS 5,5430,PHSOB 3,5428,Gerhard Bezuidenhout,6570586,4.0,0,12,37,1,9.25,(2 w2 nb)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,1,TUKS 5,5430,PHSOB 3,5428,Steven Meyburgh,2937220,9.0,1,30,50,4,5.56,
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,1,TUKS 5,5430,PHSOB 3,5428,Emil Rolfes,2936903,2.0,0,5,20,0,10.00,
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,1,TUKS 5,5430,PHSOB 3,5428,Brian Kershaw,4688792,8.3,1,35,29,2,3.41,
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,1,TUKS 5,5430,PHSOB 3,5428,Hayden Van Den Heever,6372013,1.0,0,3,12,1,12.00,(1 w)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,1,TUKS 5,5430,PHSOB 3,5428,Marko De Cock,4688791,3.0,0,13,15,0,5.00,(1 w)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,2,PHSOB 3,5428,TUKS 5,5430,Tiaan Engelbrecht,2936837,6.3,1,30,20,2,3.08,
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,2,PHSOB 3,5428,TUKS 5,5430,Martin Van Tonder,2840539,5.0,0,19,23,0,4.60,
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,2,PHSOB 3,5428,TUKS 5,5430,Christian Strydom,2936847,3.0,0,13,16,0,5.33,(2 w)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,2,PHSOB 3,5428,TUKS 5,5430,Reinhardt Hamann,6371950,7.0,0,30,30,1,4.29,(6 w)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,2,PHSOB 3,5428,TUKS 5,5430,Johan Nel,4655263,9.0,0,33,51,2,5.67,(4 w)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,2,PHSOB 3,5428,TUKS 5,5430,Tihardt Kruger,3242942,3.0,0,10,18,0,6.00,(4 w)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,2,PHSOB 3,5428,TUKS 5,5430,Andre Van Wyk,3266939,5.0,1,23,19,1,3.80,(4 w)
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,31/01/2026,20260131,5430,5428,2,PHSOB 3,5428,TUKS 5,5430,Donovan Du Toit,3713457,6.0,0,22,29,2,4.83,(1 w)
