MATCH_ID,LEAGUE_ID,LEAGUE_NAME,LEAGUE_YEAR,CLUB_ID,MATCH_DATE,MATCH_DATE_KEY,TEAM_ONE_ID,TEAM_TWO_ID,INNINGS,INNINGS_TEAM,PLAYER,PLAYER_ID,DISMISSAL_TEXT,DISMISSAL_PLAYER_1,DISMISSAL_PLAYER_1_ID,DISMISSAL_PLAYER_2,DISMISSAL_PLAYER_2_ID,DISMISSAL_PLAYER_IDS,RUNS,BALLS,FOURS,SIXES,STRIKE_RATE
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Robert De Villiers,4729852,c Rigardt S b Jaden B,Rigardt S,3729566,Jaden B,3783165,"3729566,3783165",0,2,0,0,0.00
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Henning Snyman,5045110,c † Justin V b Jaden B,Justin V,4673824,Jaden B,3783165,"4673824,3783165",33,22,4,2,150.00
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Jayden Potgieter,4854735,b Nevada J,Nevada J,4673820,,,4673820,5,7,1,0,71.43
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Avela Tamsanqa,3675645,b Nevada J,Nevada J,4673820,,,4673820,0,2,0,0,0.00
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Liam Van Wyk,5045111,c Rigardt S b Jaden B,Rigardt S,3729566,Jaden B,3783165,"3729566,3783165",1,3,0,0,33.33
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Luke Cannata,4704974,c David F b Nevada J,David F,3018346,Nevada J,4673820,"3018346,4673820",2,17,0,0,11.76
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Nathan Hall,5045108,c Nevada J b Jaden B,Nevada J,4673820,Jaden B,3783165,"4673820,3783165",0,6,0,0,0.00
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Thato Pege,3719303,b Nevada J,Nevada J,4673820,,,4673820,0,1,0,0,0.00
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Heinrich Maraldo,3031835,b Nevada J,Nevada J,4673820,,,4673820,8,15,1,0,53.33
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Aj Jordaan,5045109,c&b Nevada J,Nevada J,4673820,,,4673820,0,6,0,0,0.00
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,1,CENTURION KAVALIERS 3,Nathi Kundhlande,4854738,not out,,,,,,0,1,0,0,0.00
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,2,CBCOB 3,David Fourie,3018346,b Luke C,Luke C,4704974,,,4704974,23,14,2,2,164.29
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,2,CBCOB 3,Alaistar Legoabe,5045106,c&b Nathan H,Nathan H,5045108,,,5045108,2,7,0,0,28.57
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,2,CBCOB 3,Franco Schmidt,4673821,c&b Luke C,Luke C,4704974,,,4704974,12,18,2,0,66.67
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,2,CBCOB 3,Armin Havenga,3729570,not out,,,,,,14,15,2,0,93.33
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,2,CBCOB 3,Wendell Plaatjies,4673818,b Nathan H,Nathan H,5045108,,,5045108,1,5,0,0,20.00
7143,790,2024 Titans Second League,2024,32995,29/03/2025,20250329,4560,4552,2,CBCOB 3,Jp Coetzee,5045107,not out,,,,,,10,8,2,0,125.00
