MATCH_ID,LEAGUE_ID,LEAGUE_NAME,LEAGUE_YEAR,CLUB_ID,MATCH_DATE,MATCH_DATE_KEY,TEAM_ONE_ID,TEAM_TWO_ID,INNINGS,BATTING_TEAM,BATTING_TEAM_ID,BOWLING_TEAM,BOWLING_TEAM_ID,PLAYER,PLAYER_ID,OVERS,MAIDENS,DOT_BALLS,RUNS,WICKETS,ECONOMY,EXTRAS_TEXT
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,1,TUKS 6,1861,CBCOB 3,1196,Jacques Nel,2987580,4.0,0,18,16,1,4.00,(3 w)
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,1,TUKS 6,1861,CBCOB 3,1196,André Botes,3018347,4.0,0,16,26,2,6.50,(4 w)
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,1,TUKS 6,1861,CBCOB 3,1196,Caleb Eckard,3018344,4.0,0,14,17,0,4.25,(2 w)
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,1,TUKS 6,1861,CBCOB 3,1196,Adriaan Venter,3673677,7.0,0,32,36,1,5.14,(5 w1 nb)
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,1,TUKS 6,1861,CBCOB 3,1196,Rudi Loibner,2935397,4.5,0,21,15,5,3.10,(1 w)
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,1,TUKS 6,1861,CBCOB 3,1196,Shaun Muirhead,2889022,1.0,0,2,10,0,10.00,
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,2,CBCOB 3,1196,TUKS 6,1861,Kutloano Maseko,2936861,4.0,0,17,22,1,5.50,(4 w)
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,2,CBCOB 3,1196,TUKS 6,1861,Bonolo Khuzwayo,3018350,7.0,0,26,44,1,6.29,(5 w)
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,2,CBCOB 3,1196,TUKS 6,1861,Latir Grey-Johnson,3018351,3.0,0,9,34,0,11.33,(1 w)
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,2,CBCOB 3,1196,TUKS 6,1861,Erik Hartman,2936852,1.1,0,1,15,1,12.86,
726,18,Titans Second League,unknown,32995,29/10/2022,20221029,1861,1196,2,CBCOB 3,1196,TUKS 6,1861,Puseletso Mogofe,2936856,1.0,0,4,15,0,15.00,(0 w1 nb)
